COUNTYFP,NEVER,RARELY,SUM OF NEVER & RARELY,SOMETIMES,FREQUENTLY,ALWAYS,SUM OF ALWAYS AND FREQUNTLY,STATE
29109,0.241,0.05,0.291,0.251,0.222,0.237,0.459,MO
29111,0.164,0.109,0.273,0.177,0.23,0.32,0.55,MO
29113,0.063,0.119,0.182,0.236,0.282,0.299,0.581,MO
29115,0.126,0.156,0.282,0.118,0.274,0.326,0.6,MO
29117,0.15,0.228,0.378,0.111,0.25,0.26,0.51,MO
29119,0.152,0.145,0.297,0.089,0.138,0.476,0.614,MO
29121,0.118,0.127,0.245,0.158,0.258,0.338,0.596,MO
29123,0.082,0.124,0.206,0.092,0.296,0.406,0.702,MO
29125,0.098,0.158,0.256,0.121,0.198,0.424,0.622,MO
29127,0.178,0.093,0.271,0.212,0.185,0.332,0.517,MO
29129,0.23,0.13,0.36,0.216,0.162,0.261,0.423,MO
29131,0.2,0.126,0.326,0.137,0.147,0.39,0.537,MO
29133,0.129,0.097,0.226,0.141,0.221,0.413,0.634,MO
29135,0.102,0.268,0.37,0.11,0.202,0.318,0.52,MO
29137,0.164,0.105,0.269,0.182,0.203,0.346,0.549,MO
29139,0.062,0.077,0.139,0.161,0.307,0.392,0.699,MO
29141,0.211,0.118,0.329,0.175,0.193,0.304,0.497,MO
29143,0.098,0.112,0.21,0.149,0.18,0.461,0.641,MO
29145,0.156,0.121,0.277,0.14,0.211,0.373,0.584,MO
29147,0.093,0.193,0.286,0.16,0.283,0.272,0.555,MO
29149,0.142,0.196,0.338,0.293,0.129,0.241,0.37,MO
29151,0.067,0.133,0.2,0.171,0.16,0.469,0.629,MO
29153,0.179,0.128,0.307,0.128,0.13,0.435,0.565,MO
29155,0.079,0.134,0.213,0.175,0.204,0.407,0.611,MO
29157,0.032,0.102,0.134,0.156,0.302,0.408,0.71,MO
29159,0.185,0.111,0.296,0.156,0.254,0.294,0.548,MO
29161,0.139,0.177,0.316,0.119,0.244,0.32,0.564,MO
29163,0.082,0.128,0.21,0.363,0.263,0.164,0.427,MO
29165,0.044,0.04,0.084,0.088,0.189,0.638,0.827,MO
29167,0.183,0.109,0.292,0.103,0.189,0.416,0.605,MO
29169,0.208,0.103,0.311,0.16,0.175,0.354,0.529,MO
29171,0.107,0.111,0.218,0.209,0.191,0.382,0.573,MO
29173,0.16,0.106,0.266,0.248,0.196,0.29,0.486,MO
29175,0.163,0.088,0.251,0.145,0.194,0.41,0.604,MO
29177,0.073,0.124,0.197,0.233,0.184,0.386,0.57,MO
29179,0.137,0.183,0.32,0.085,0.229,0.366,0.595,MO
29181,0.126,0.254,0.38,0.161,0.15,0.308,0.458,MO
29183,0.041,0.05,0.091,0.091,0.286,0.532,0.818,MO
29185,0.163,0.145,0.308,0.182,0.279,0.23,0.509,MO
29186,0.025,0.14,0.165,0.144,0.311,0.38,0.691,MO
29187,0.103,0.12,0.223,0.085,0.264,0.428,0.692,MO
29189,0.024,0.028,0.052,0.069,0.182,0.697,0.879,MO
29195,0.083,0.23,0.313,0.112,0.186,0.389,0.575,MO
29197,0.05,0.101,0.151,0.211,0.222,0.416,0.638,MO
29199,0.073,0.112,0.185,0.209,0.246,0.361,0.607,MO
29201,0.125,0.115,0.24,0.128,0.247,0.385,0.632,MO
29203,0.212,0.25,0.462,0.198,0.098,0.243,0.341,MO
29205,0.142,0.144,0.286,0.16,0.238,0.317,0.555,MO
29207,0.137,0.12,0.257,0.156,0.176,0.411,0.587,MO
29209,0.056,0.093,0.149,0.171,0.247,0.434,0.681,MO
29211,0.136,0.127,0.263,0.174,0.223,0.341,0.564,MO
29213,0.053,0.079,0.132,0.214,0.155,0.499,0.654,MO
29215,0.309,0.171,0.48,0.231,0.106,0.183,0.289,MO
29217,0.164,0.105,0.269,0.11,0.125,0.496,0.621,MO
29219,0.11,0.083,0.193,0.111,0.25,0.446,0.696,MO
29221,0.181,0.092,0.273,0.118,0.191,0.418,0.609,MO
29223,0.191,0.171,0.362,0.13,0.196,0.313,0.509,MO
29225,0.297,0.09,0.387,0.162,0.137,0.313,0.45,MO
29227,0.098,0.17,0.268,0.218,0.272,0.241,0.513,MO
29229,0.419,0.139,0.558,0.187,0.1,0.155,0.255,MO
29510,0.039,0.017,0.056,0.08,0.137,0.726,0.863,MO
MAX,0.419,0.285,0.558,0.363,0.345,0.726,0.879,MO
MIN,0.024,0.017,0.052,0.026,0.098,0.155,0.255,MO
AVERAGE,0.13406087,0.127165217,0.261226087,0.151652174,0.21053913,0.376556522,0.587095652,MO
30001,0.165,0.127,0.292,0.102,0.18,0.425,0.605,MT
30003,0.136,0.196,0.332,0.147,0.25,0.271,0.521,MT
30005,0.287,0.08,0.367,0.188,0.252,0.192,0.444,MT
30007,0.165,0.098,0.263,0.099,0.199,0.439,0.638,MT
30009,0.14,0.169,0.309,0.163,0.26,0.267,0.527,MT
30011,0.123,0.121,0.244,0.127,0.212,0.417,0.629,MT
30013,0.17,0.143,0.313,0.16,0.145,0.382,0.527,MT
30015,0.196,0.135,0.331,0.171,0.152,0.346,0.498,MT
30017,0.085,0.261,0.346,0.144,0.28,0.23,0.51,MT
30019,0.172,0.244,0.416,0.186,0.269,0.129,0.398,MT
30021,0.139,0.249,0.388,0.176,0.274,0.161,0.435,MT
30023,0.141,0.173,0.314,0.064,0.133,0.489,0.622,MT
30025,0.118,0.199,0.317,0.146,0.296,0.24,0.536,MT
30027,0.284,0.111,0.395,0.157,0.187,0.261,0.448,MT
30029,0.076,0.167,0.243,0.159,0.224,0.374,0.598,MT
30031,0.132,0.093,0.225,0.115,0.213,0.448,0.661,MT
30033,0.134,0.199,0.333,0.18,0.265,0.221,0.486,MT
30035,0.084,0.154,0.238,0.17,0.196,0.396,0.592,MT
30037,0.134,0.181,0.315,0.168,0.246,0.271,0.517,MT
30039,0.116,0.17,0.286,0.109,0.183,0.422,0.605,MT
30041,0.27,0.106,0.376,0.159,0.192,0.273,0.465,MT
30043,0.158,0.111,0.269,0.076,0.169,0.487,0.656,MT
30045,0.233,0.11,0.343,0.17,0.139,0.349,0.488,MT
30047,0.087,0.23,0.317,0.128,0.206,0.349,0.555,MT
30049,0.149,0.107,0.256,0.08,0.185,0.479,0.664,MT
30051,0.188,0.146,0.334,0.167,0.147,0.352,0.499,MT
30053,0.118,0.174,0.292,0.118,0.188,0.402,0.59,MT
30055,0.142,0.274,0.416,0.179,0.267,0.139,0.406,MT
30057,0.172,0.113,0.285,0.105,0.21,0.4,0.61,MT
30059,0.188,0.093,0.281,0.12,0.203,0.396,0.599,MT
30061,0.097,0.278,0.375,0.119,0.183,0.323,0.506,MT
30063,0.091,0.2,0.291,0.128,0.209,0.372,0.581,MT
30065,0.128,0.178,0.306,0.169,0.257,0.268,0.525,MT
30067,0.114,0.099,0.213,0.106,0.214,0.467,0.681,MT
30069,0.157,0.154,0.311,0.174,0.247,0.269,0.516,MT
30071,0.229,0.114,0.343,0.214,0.296,0.147,0.443,MT
30073,0.123,0.175,0.298,0.17,0.142,0.39,0.532,MT
30075,0.193,0.24,0.433,0.106,0.188,0.273,0.461,MT
30077,0.118,0.144,0.262,0.069,0.14,0.53,0.67,MT
30079,0.101,0.27,0.371,0.171,0.283,0.176,0.459,MT
30081,0.121,0.177,0.298,0.114,0.195,0.393,0.588,MT
30083,0.176,0.216,0.392,0.162,0.255,0.191,0.446,MT
30085,0.169,0.246,0.415,0.178,0.261,0.146,0.407,MT
30087,0.126,0.214,0.34,0.143,0.248,0.269,0.517,MT
30089,0.15,0.204,0.354,0.191,0.172,0.283,0.455,MT
30091,0.179,0.203,0.382,0.178,0.256,0.185,0.441,MT
30093,0.158,0.138,0.296,0.059,0.143,0.503,0.646,MT
30095,0.126,0.173,0.299,0.16,0.255,0.286,0.541,MT
30097,0.116,0.157,0.273,0.126,0.227,0.374,0.601,MT
30099,0.134,0.176,0.31,0.147,0.152,0.391,0.543,MT
30101,0.138,0.165,0.303,0.178,0.135,0.384,0.519,MT
30103,0.122,0.188,0.31,0.16,0.259,0.27,0.529,MT
30105,0.172,0.235,0.407,0.187,0.291,0.115,0.406,MT
30107,0.214,0.135,0.349,0.144,0.189,0.318,0.507,MT
30109,0.165,0.219,0.384,0.161,0.267,0.187,0.454,MT
30111,0.129,0.177,0.306,0.167,0.262,0.265,0.527,MT
MAX,0.287,0.278,0.433,0.214,0.296,0.53,0.681,MT
MIN,0.076,0.08,0.213,0.059,0.133,0.115,0.398,MT
AVERAGE,0.150857143,0.171589286,0.322446429,0.144892857,0.215142857,0.317535714,0.532678571,MT
31001,0.057,0.128,0.185,0.089,0.291,0.435,0.726,NE
31003,0.198,0.096,0.294,0.191,0.161,0.354,0.515,NE
31005,0.144,0.135,0.279,0.117,0.248,0.356,0.604,NE
31007,0.249,0.128,0.377,0.134,0.216,0.272,0.488,NE
31009,0.176,0.103,0.279,0.123,0.305,0.293,0.598,NE
31011,0.156,0.08,0.236,0.151,0.197,0.415,0.612,NE
31013,0.303,0.112,0.415,0.096,0.285,0.203,0.488,NE
31015,0.081,0.159,0.24,0.267,0.184,0.309,0.493,NE
31017,0.141,0.082,0.223,0.167,0.275,0.335,0.61,NE
31019,0.065,0.113,0.178,0.104,0.327,0.391,0.718,NE
31021,0.066,0.063,0.129,0.09,0.321,0.46,0.781,NE
31023,0.027,0.105,0.132,0.263,0.238,0.365,0.603,NE
31025,0.042,0.049,0.091,0.119,0.24,0.55,0.79,NE
31027,0.207,0.163,0.37,0.161,0.177,0.293,0.47,NE
31029,0.055,0.192,0.247,0.156,0.232,0.364,0.596,NE
31031,0.158,0.042,0.2,0.095,0.377,0.328,0.705,NE
31033,0.116,0.159,0.275,0.164,0.338,0.223,0.561,NE
31035,0.064,0.132,0.196,0.124,0.28,0.4,0.68,NE
31037,0.054,0.089,0.143,0.228,0.287,0.341,0.628,NE
31039,0.147,0.066,0.213,0.122,0.347,0.317,0.664,NE
31041,0.143,0.104,0.247,0.112,0.328,0.314,0.642,NE
31043,0.113,0.167,0.28,0.131,0.163,0.425,0.588,NE
31045,0.224,0.103,0.327,0.11,0.321,0.242,0.563,NE
31047,0.096,0.114,0.21,0.115,0.348,0.328,0.676,NE
31049,0.093,0.147,0.24,0.138,0.267,0.355,0.622,NE
31051,0.163,0.16,0.323,0.131,0.162,0.383,0.545,NE
31053,0.14,0.036,0.176,0.136,0.374,0.314,0.688,NE
31055,0.091,0.069,0.16,0.095,0.263,0.482,0.745,NE
31057,0.053,0.232,0.285,0.173,0.231,0.311,0.542,NE
31059,0.053,0.096,0.149,0.263,0.375,0.213,0.588,NE
31061,0.083,0.168,0.251,0.083,0.288,0.378,0.666,NE
31063,0.094,0.121,0.215,0.136,0.336,0.313,0.649,NE
31065,0.101,0.135,0.236,0.129,0.319,0.315,0.634,NE
31067,0.127,0.03,0.157,0.103,0.26,0.48,0.74,NE
31069,0.202,0.124,0.326,0.119,0.268,0.288,0.556,NE
31071,0.168,0.084,0.252,0.142,0.236,0.37,0.606,NE
31073,0.086,0.12,0.206,0.115,0.347,0.333,0.68,NE
31075,0.199,0.116,0.315,0.102,0.27,0.313,0.583,NE
31077,0.122,0.091,0.213,0.122,0.245,0.421,0.666,NE
31079,0.048,0.114,0.162,0.103,0.284,0.451,0.735,NE
31081,0.04,0.124,0.164,0.157,0.252,0.427,0.679,NE
31083,0.089,0.158,0.247,0.102,0.302,0.348,0.65,NE
31085,0.072,0.151,0.223,0.161,0.273,0.343,0.616,NE
31087,0.085,0.162,0.247,0.19,0.263,0.301,0.564,NE
31089,0.113,0.134,0.247,0.234,0.154,0.365,0.519,NE
31091,0.151,0.123,0.274,0.11,0.279,0.337,0.616,NE
31093,0.073,0.104,0.177,0.108,0.281,0.433,0.714,NE
31095,0.206,0.05,0.256,0.055,0.306,0.384,0.69,NE
31097,0.061,0.175,0.236,0.247,0.207,0.31,0.517,NE
31099,0.062,0.127,0.189,0.094,0.318,0.399,0.717,NE
31101,0.093,0.15,0.243,0.13,0.235,0.393,0.628,NE
31103,0.124,0.09,0.214,0.183,0.273,0.331,0.604,NE
31105,0.187,0.173,0.36,0.161,0.228,0.25,0.478,NE
31107,0.171,0.178,0.349,0.195,0.157,0.299,0.456,NE
31109,0.093,0.061,0.154,0.112,0.264,0.47,0.734,NE
31111,0.103,0.145,0.248,0.123,0.287,0.341,0.628,NE
31113,0.14,0.133,0.273,0.115,0.308,0.304,0.612,NE
31115,0.193,0.084,0.277,0.129,0.276,0.318,0.594,NE
31117,0.121,0.147,0.268,0.115,0.257,0.361,0.618,NE
31119,0.251,0.082,0.333,0.194,0.156,0.317,0.473,NE
31121,0.05,0.125,0.175,0.137,0.234,0.454,0.688,NE
31123,0.261,0.119,0.38,0.124,0.273,0.223,0.496,NE
31125,0.091,0.111,0.202,0.131,0.207,0.459,0.666,NE
31127,0.09,0.148,0.238,0.137,0.293,0.333,0.626,NE
31129,0.138,0.132,0.27,0.064,0.349,0.318,0.667,NE
31131,0.11,0.097,0.207,0.09,0.275,0.428,0.703,NE
31133,0.067,0.147,0.214,0.215,0.254,0.316,0.57,NE
31135,0.069,0.164,0.233,0.142,0.233,0.393,0.626,NE
31137,0.072,0.126,0.198,0.103,0.336,0.363,0.699,NE
31139,0.253,0.11,0.363,0.185,0.142,0.311,0.453,NE
31141,0.044,0.094,0.138,0.176,0.254,0.432,0.686,NE
31143,0.029,0.167,0.196,0.277,0.174,0.353,0.527,NE
31145,0.102,0.123,0.225,0.169,0.308,0.298,0.606,NE
31147,0.098,0.185,0.283,0.166,0.252,0.298,0.55,NE
31149,0.13,0.102,0.232,0.198,0.222,0.349,0.571,NE
31151,0.021,0.07,0.091,0.186,0.217,0.507,0.724,NE
31153,0.094,0.069,0.163,0.144,0.26,0.433,0.693,NE
31155,0.108,0.09,0.198,0.28,0.223,0.3,0.523,NE
31157,0.256,0.132,0.388,0.113,0.245,0.255,0.5,NE
31159,0.028,0.046,0.074,0.216,0.109,0.601,0.71,NE
31161,0.248,0.083,0.331,0.094,0.333,0.242,0.575,NE
31163,0.093,0.099,0.192,0.11,0.307,0.39,0.697,NE
31165,0.241,0.161,0.402,0.101,0.292,0.205,0.497,NE
31167,0.265,0.08,0.345,0.192,0.154,0.309,0.463,NE
31169,0.185,0.071,0.256,0.066,0.429,0.249,0.678,NE
31171,0.152,0.12,0.272,0.118,0.302,0.308,0.61,NE
31173,0.123,0.153,0.276,0.119,0.187,0.418,0.605,NE
31175,0.135,0.09,0.225,0.118,0.278,0.38,0.658,NE
31177,0.086,0.116,0.202,0.15,0.261,0.386,0.647,NE
31179,0.245,0.12,0.365,0.155,0.141,0.34,0.481,NE
31181,0.091,0.167,0.258,0.068,0.286,0.389,0.675,NE
31183,0.162,0.084,0.246,0.155,0.201,0.399,0.6,NE
31185,0.044,0.168,0.212,0.422,0.184,0.182,0.366,NE
MAX,0.303,0.232,0.415,0.422,0.429,0.601,0.79,NE
MIN,0.021,0.03,0.074,0.055,0.109,0.182,0.366,NE
AVERAGE,0.123806452,0.117709677,0.241516129,0.145752688,0.261311828,0.351451613,0.612763441,NE
32001,0.022,0.093,0.115,0.058,0.153,0.674,0.827,NV
32003,0.027,0.032,0.059,0.054,0.145,0.742,0.887,NV
32005,0.029,0.055,0.084,0.091,0.238,0.588,0.826,NV
32007,0.021,0.046,0.067,0.19,0.364,0.379,0.743,NV
32009,0.086,0.004,0.09,0.006,0.032,0.872,0.904,NV
32011,0.002,0.054,0.056,0.17,0.386,0.387,0.773,NV
32013,0.008,0.042,0.05,0.156,0.069,0.725,0.794,NV
32015,0.004,0.085,0.089,0.142,0.182,0.588,0.77,NV
32017,0.048,0.019,0.067,0.147,0.177,0.61,0.787,NV
32019,0.037,0.069,0.106,0.05,0.173,0.671,0.844,NV
32021,0.022,0.018,0.04,0.09,0.115,0.755,0.87,NV
32023,0.061,0.038,0.099,0.052,0.183,0.666,0.849,NV
32027,0.01,0.013,0.023,0.248,0.038,0.691,0.729,NV
32029,0.015,0.038,0.053,0.039,0.126,0.782,0.908,NV
32031,0.024,0.025,0.049,0.06,0.215,0.676,0.891,NV
32033,0.059,0.016,0.075,0.208,0.421,0.296,0.717,NV
32510,0.023,0.064,0.087,0.054,0.274,0.585,0.859,NV
MAX,0.086,0.093,0.115,0.248,0.421,0.872,0.908,NV
MIN,0.002,0.004,0.023,0.006,0.032,0.296,0.717,NV
AVERAGE,0.029294118,0.041823529,0.071117647,0.106764706,0.193588235,0.628647059,0.822235294,NV
33001,0.114,0.02,0.134,0.11,0.158,0.598,0.756,NH
33003,0.088,0.035,0.123,0.107,0.172,0.598,0.77,NH
33005,0.02,0.075,0.095,0.093,0.202,0.609,0.811,NH
33007,0.017,0.05,0.067,0.068,0.169,0.697,0.866,NH
33009,0.039,0.026,0.065,0.032,0.199,0.705,0.904,NH
33011,0.03,0.069,0.099,0.066,0.164,0.67,0.834,NH
33013,0.085,0.067,0.152,0.075,0.158,0.615,0.773,NH
33015,0.018,0.057,0.075,0.074,0.212,0.639,0.851,NH
33017,0.08,0.074,0.154,0.098,0.19,0.558,0.748,NH
33019,0.06,0.103,0.163,0.012,0.252,0.574,0.826,NH
MAX,0.114,0.103,0.163,0.11,0.252,0.705,0.904,NH
MIN,0.017,0.02,0.065,0.012,0.158,0.558,0.748,NH
AVERAGE,0.0551,0.0576,0.1127,0.0735,0.1876,0.6263,0.8139,NH
34001,0.019,0.041,0.06,0.03,0.176,0.734,0.91,NJ
34003,0.02,0.014,0.034,0.053,0.151,0.762,0.913,NJ
34005,0.023,0.02,0.043,0.043,0.134,0.779,0.913,NJ
34007,0.028,0.005,0.033,0.027,0.137,0.802,0.939,NJ
34009,0.013,0.011,0.024,0.022,0.214,0.74,0.954,NJ
34011,0.032,0.006,0.038,0.058,0.142,0.762,0.904,NJ
34013,0.035,0.014,0.049,0.085,0.183,0.682,0.865,NJ
34015,0.047,0.01,0.057,0.052,0.145,0.746,0.891,NJ
34017,0.022,0.019,0.041,0.077,0.211,0.67,0.881,NJ
34019,0.007,0.038,0.045,0.065,0.085,0.804,0.889,NJ
34021,0.017,0.014,0.031,0.05,0.162,0.757,0.919,NJ
34023,0.02,0.016,0.036,0.054,0.146,0.765,0.911,NJ
34025,0.01,0.022,0.032,0.041,0.164,0.764,0.928,NJ
34027,0.023,0.018,0.041,0.049,0.191,0.72,0.911,NJ
34029,0.012,0.056,0.068,0.055,0.104,0.772,0.876,NJ
34031,0.029,0.015,0.044,0.063,0.138,0.756,0.894,NJ
34033,0.041,0.043,0.084,0.036,0.154,0.726,0.88,NJ
34035,0.016,0.027,0.043,0.046,0.12,0.791,0.911,NJ
34037,0.02,0.026,0.046,0.029,0.205,0.72,0.925,NJ
34039,0.012,0.011,0.023,0.059,0.202,0.716,0.918,NJ
34041,0.035,0.02,0.055,0.044,0.152,0.749,0.901,NJ
MAX,0.047,0.056,0.084,0.085,0.214,0.804,0.954,NJ
MIN,0.007,0.005,0.023,0.022,0.085,0.67,0.865,NJ
AVERAGE,0.022904762,0.021238095,0.044142857,0.049428571,0.157904762,0.748428571,0.906333333,NJ
35001,0.036,0.014,0.05,0.057,0.135,0.758,0.893,NM
35003,0.054,0.039,0.093,0.036,0.109,0.762,0.871,NM
35005,0.074,0.04,0.114,0.108,0.144,0.634,0.778,NM
35006,0.003,0.059,0.062,0.014,0.085,0.839,0.924,NM
35007,0.041,0.019,0.06,0.091,0.106,0.743,0.849,NM
35009,0.011,0.129,0.14,0.111,0.209,0.54,0.749,NM
35011,0.036,0.069,0.105,0.085,0.098,0.712,0.81,NM
35013,0.011,0.044,0.055,0.036,0.097,0.812,0.909,NM
35015,0.2,0.07,0.27,0.092,0.239,0.399,0.638,NM
35017,0.043,0.031,0.074,0.15,0.205,0.572,0.777,NM
35019,0.014,0.049,0.063,0.072,0.098,0.766,0.864,NM
35021,0.057,0.152,0.209,0.062,0.115,0.614,0.729,NM
35023,0.056,0.037,0.093,0.186,0.153,0.569,0.722,NM
35025,0.112,0.024,0.136,0.115,0.331,0.418,0.749,NM
35027,0.04,0.012,0.052,0.055,0.162,0.731,0.893,NM
35028,0.001,0.041,0.042,0.076,0.173,0.709,0.882,NM
35029,0.105,0.046,0.151,0.024,0.11,0.715,0.825,NM
35031,0.01,0.06,0.07,0.008,0.202,0.721,0.923,NM
35033,0.002,0.027,0.029,0.067,0.098,0.806,0.904,NM
35035,0.074,0.03,0.104,0.143,0.158,0.595,0.753,NM
35037,0.049,0.152,0.201,0.07,0.159,0.571,0.73,NM
35039,0.007,0.054,0.061,0.102,0.162,0.675,0.837,NM
35041,0.009,0.154,0.163,0.089,0.146,0.602,0.748,NM
35043,0.017,0.015,0.032,0.096,0.11,0.762,0.872,NM
35045,0.057,0.015,0.072,0.118,0.255,0.555,0.81,NM
35047,0.004,0.02,0.024,0.057,0.119,0.8,0.919,NM
35049,0.008,0.016,0.024,0.031,0.143,0.803,0.946,NM
35051,0.03,0.039,0.069,0.033,0.239,0.659,0.898,NM
35053,0.002,0.008,0.01,0.05,0.193,0.746,0.939,NM
35055,0.006,0.041,0.047,0.055,0.113,0.785,0.898,NM
35057,0.097,0.005,0.102,0.035,0.167,0.696,0.863,NM
35059,0.12,0.118,0.238,0.127,0.242,0.393,0.635,NM
35061,0.006,0.009,0.015,0.143,0.195,0.648,0.843,NM
MAX,0.2,0.154,0.27,0.186,0.331,0.839,0.946,NM
MIN,0.001,0.005,0.01,0.008,0.085,0.393,0.635,NM
AVERAGE,0.042181818,0.049636364,0.091818182,0.078606061,0.15969697,0.67,0.82969697,NM
36001,0.006,0.012,0.018,0.052,0.142,0.788,0.93,NY
36003,0.062,0.015,0.077,0.028,0.124,0.771,0.895,NY
36005,0.043,0.013,0.056,0.066,0.136,0.742,0.878,NY
36007,0.044,0.028,0.072,0.051,0.066,0.812,0.878,NY
36009,0.015,0.013,0.028,0.024,0.156,0.793,0.949,NY
36011,0,0.033,0.033,0.072,0.162,0.732,0.894,NY
36013,0.029,0.024,0.053,0.038,0.206,0.703,0.909,NY
36015,0.012,0.046,0.058,0.092,0.256,0.594,0.85,NY
36017,0.048,0.045,0.093,0.015,0.156,0.735,0.891,NY
36019,0.017,0.024,0.041,0.102,0.084,0.773,0.857,NY
36021,0.014,0.004,0.018,0.029,0.104,0.848,0.952,NY
36023,0.001,0.062,0.063,0.015,0.118,0.803,0.921,NY
36025,0.057,0.053,0.11,0.034,0.112,0.744,0.856,NY
36027,0.007,0.009,0.016,0.031,0.099,0.854,0.953,NY
36029,0.018,0.014,0.032,0.04,0.161,0.766,0.927,NY
36031,0.05,0.05,0.1,0.057,0.107,0.736,0.843,NY
36033,0.026,0.027,0.053,0.117,0.097,0.733,0.83,NY
36035,0.078,0.015,0.093,0.06,0.118,0.729,0.847,NY
36037,0.001,0.017,0.018,0.015,0.187,0.781,0.968,NY
36039,0.022,0.014,0.036,0.03,0.146,0.788,0.934,NY
36041,0.042,0.024,0.066,0.053,0.229,0.653,0.882,NY
36043,0.015,0.026,0.041,0.042,0.158,0.758,0.916,NY
36045,0.008,0.058,0.066,0.038,0.116,0.78,0.896,NY
36047,0.035,0.034,0.069,0.058,0.141,0.732,0.873,NY
36049,0.069,0.036,0.105,0.02,0.11,0.765,0.875,NY
36051,0.011,0.034,0.045,0.009,0.111,0.835,0.946,NY
36053,0.003,0.015,0.018,0.043,0.107,0.832,0.939,NY
36055,0.018,0.012,0.03,0.056,0.129,0.785,0.914,NY
36057,0.102,0.005,0.107,0.054,0.09,0.749,0.839,NY
36059,0.017,0.018,0.035,0.043,0.142,0.779,0.921,NY
36061,0.02,0.016,0.036,0.04,0.121,0.803,0.924,NY
36063,0.001,0.028,0.029,0.037,0.204,0.73,0.934,NY
36065,0.016,0.025,0.041,0.033,0.153,0.774,0.927,NY
36067,0.019,0.008,0.027,0.054,0.163,0.756,0.919,NY
36069,0.001,0.012,0.013,0.031,0.107,0.849,0.956,NY
36071,0.023,0.008,0.031,0.042,0.18,0.746,0.926,NY
36073,0.001,0.033,0.034,0.059,0.213,0.693,0.906,NY
36075,0.017,0.003,0.02,0.094,0.119,0.766,0.885,NY
36077,0.032,0.065,0.097,0.027,0.096,0.779,0.875,NY
36079,0.003,0.018,0.021,0.022,0.105,0.852,0.957,NY
36081,0.022,0.023,0.045,0.068,0.136,0.751,0.887,NY
36083,0.018,0.018,0.036,0.073,0.14,0.751,0.891,NY
36085,0.033,0.015,0.048,0.046,0.178,0.728,0.906,NY
36087,0.011,0.018,0.029,0.054,0.195,0.722,0.917,NY
36089,0.027,0.029,0.056,0.095,0.149,0.701,0.85,NY
36091,0.02,0.012,0.032,0.062,0.156,0.751,0.907,NY
36093,0.04,0.007,0.047,0.051,0.06,0.841,0.901,NY
36095,0.007,0.02,0.027,0.04,0.108,0.825,0.933,NY
36097,0.01,0.009,0.019,0.071,0.239,0.67,0.909,NY
36099,0.001,0.012,0.013,0.042,0.082,0.864,0.946,NY
36101,0.036,0.031,0.067,0.057,0.201,0.674,0.875,NY
36103,0.04,0.019,0.059,0.053,0.106,0.782,0.888,NY
36105,0.024,0.03,0.054,0.043,0.085,0.817,0.902,NY
36107,0.019,0.011,0.03,0.018,0.114,0.839,0.953,NY
36109,0.012,0.01,0.022,0.046,0.098,0.833,0.931,NY
36111,0.014,0.023,0.037,0.045,0.1,0.818,0.918,NY
36113,0.026,0.018,0.044,0.104,0.13,0.723,0.853,NY
36115,0.026,0.027,0.053,0.135,0.138,0.673,0.811,NY
36117,0.001,0.016,0.017,0.061,0.132,0.789,0.921,NY
36119,0.025,0.018,0.043,0.044,0.115,0.798,0.913,NY
36121,0.001,0.024,0.025,0.008,0.107,0.861,0.968,NY
36123,0,0.006,0.006,0.023,0.087,0.884,0.971,NY
MAX,0.102,0.065,0.11,0.135,0.256,0.884,0.971,NY
MIN,0,0.003,0.006,0.008,0.06,0.594,0.811,NY
AVERAGE,0.02283871,0.022451613,0.045290323,0.049387097,0.135274194,0.769935484,0.905209677,NY
37001,0.04,0.073,0.113,0.126,0.175,0.586,0.761,NC
37003,0.027,0.023,0.05,0.103,0.272,0.575,0.847,NC
37005,0.153,0.067,0.22,0.067,0.21,0.504,0.714,NC
37007,0.053,0.062,0.115,0.08,0.163,0.641,0.804,NC
37009,0.149,0.026,0.175,0.083,0.287,0.455,0.742,NC
37011,0.096,0.01,0.106,0.212,0.173,0.509,0.682,NC
37013,0.037,0.08,0.117,0.041,0.219,0.623,0.842,NC
37015,0.1,0.04,0.14,0.064,0.214,0.582,0.796,NC
37017,0.073,0.023,0.096,0.076,0.104,0.724,0.828,NC
37019,0.024,0.018,0.042,0.036,0.248,0.673,0.921,NC
37021,0.009,0.023,0.032,0.044,0.23,0.693,0.923,NC
37023,0.091,0.056,0.147,0.124,0.189,0.54,0.729,NC
37025,0.04,0.022,0.062,0.092,0.27,0.576,0.846,NC
37027,0.028,0.031,0.059,0.072,0.199,0.67,0.869,NC
37029,0.091,0.025,0.116,0.121,0.188,0.575,0.763,NC
37031,0.01,0.067,0.077,0.167,0.197,0.56,0.757,NC
37033,0.06,0.035,0.095,0.199,0.179,0.527,0.706,NC
37035,0.035,0.07,0.105,0.13,0.214,0.551,0.765,NC
37037,0.007,0.025,0.032,0.063,0.139,0.766,0.905,NC
37039,0.085,0.109,0.194,0.101,0.147,0.557,0.704,NC
37041,0.044,0.011,0.055,0.152,0.296,0.497,0.793,NC
37043,0.099,0.091,0.19,0.095,0.169,0.546,0.715,NC
37045,0.062,0.121,0.183,0.094,0.151,0.573,0.724,NC
37047,0.179,0.043,0.222,0.113,0.155,0.511,0.666,NC
37049,0.034,0.068,0.102,0.212,0.215,0.47,0.685,NC
37051,0.028,0.047,0.075,0.1,0.175,0.649,0.824,NC
37053,0.157,0.021,0.178,0.131,0.167,0.524,0.691,NC
